card_name,set,rarity,full_rarity,old_price,print_run,full_set,cur_price,set_rarity,pct_increase,performance
Northern Paladin,LEA,rare,R,$15.00,1100,Alpha,825,LEA (R),5400,Beat S&P
Obsianus Golem,LEA,uncommon,U,$3.00,4500,Alpha,58.400000000000006,LEA (U),1846.6666666666665,Below S&P
Orcish Artillery,LEA,uncommon,U,$1.64,4500,Alpha,403.49666666666667,LEA (U),24503.455284552867,Beat S&P
Orcish Oriflamme,LEA,uncommon,U,$3.00,4500,Alpha,282.63,LEA (U),9321,Beat S&P
Paralyze,LEA,common,C,$0.41,16000,Alpha,29.163333333333334,LEA (C),7013.0081300812935,Beat S&P
Pearled Unicorn,LEA,common,C,$0.41,16000,Alpha,36.20666666666666,LEA (C),8730.894308943098,Beat S&P
Personal Incarnation,LEA,rare,R,$10.50,1100,Alpha,699.99,LEA (R),6566.571428571428,Beat S&P
Pestilence,LEA,common,C,$0.41,16000,Alpha,49.565,LEA (C),11989.024390243903,Beat S&P
Phantasmal Forces,LEA,uncommon,U,$2.18,4500,Alpha,85.58333333333333,LEA (U),3825.84097859327,Beat S&P
Phantasmal Terrain,LEA,common,C,$0.41,16000,Alpha,25.183333333333334,LEA (C),6042.27642276422,Beat S&P
Phantom Monster,LEA,uncommon,U,$2.00,4500,Alpha,57.599999999999994,LEA (U),2780,Beat S&P
Pirate Ship,LEA,rare,R,$7.50,1100,Alpha,557.345,LEA (R),7331.266666666667,Beat S&P
Plague Rats,LEA,common,C,$0.75,16000,Alpha,56.92666666666666,LEA (C),7490.222222222226,Beat S&P
Plateau,LEA,rare,R,$7.00,1100,Alpha,3375,LEA (R),48114.28571428572,Beat S&P
Power Leak,LEA,common,C,$0.41,16000,Alpha,20.976666666666667,LEA (C),5016.260162601634,Beat S&P
Power Sink,LEA,common,C,$0.50,16000,Alpha,37.21,LEA (C),7342,Beat S&P
Power Surge,LEA,rare,R,$5.00,1100,Alpha,510.495,LEA (R),10109.9,Beat S&P
Prodigal Sorcerer,LEA,common,C,$0.80,16000,Alpha,38.78666666666667,LEA (C),4748.333333333337,Beat S&P
Psionic Blast,LEA,uncommon,U,$2.00,4500,Alpha,393.27,LEA (U),19563.5,Beat S&P
Psychic Venom,LEA,common,C,$0.50,16000,Alpha,37.54666666666667,LEA (C),7409.33333333334,Beat S&P
Purelace,LEA,rare,R,$5.00,1100,Alpha,242.025,LEA (R),4740.5,Beat S&P
Raging River,LEA,rare,R,$8.50,1100,Alpha,1675.195,LEA (R),19608.176470588234,Beat S&P
Raise Dead,LEA,common,C,$0.30,16000,Alpha,32.475,LEA (C),10725.000000000002,Beat S&P
Red Elemental Blast,LEA,common,C,$0.41,16000,Alpha,136.32333333333335,LEA (C),33149.59349593489,Beat S&P
Red Ward,LEA,uncommon,U,$2.00,4500,Alpha,33.245,LEA (U),1562.2499999999998,Below S&P
Regeneration,LEA,common,C,$0.30,16000,Alpha,27.043333333333333,LEA (C),8914.444444444433,Beat S&P
Regrowth,LEA,uncommon,U,$2.65,4500,Alpha,287.22333333333336,LEA (U),10738.616352201247,Beat S&P
Resurrection,LEA,uncommon,U,$2.00,4500,Alpha,27.43,LEA (U),1271.5,Below S&P
Reverse Damage,LEA,rare,R,$7.00,1100,Alpha,449.99,LEA (R),6328.428571428572,Beat S&P
Righteousness,LEA,rare,R,$7.25,1100,Alpha,449.99,LEA (R),6106.758620689655,Beat S&P
Roc of Kher Ridges,LEA,rare,R,$7.00,1100,Alpha,410.71500000000003,LEA (R),5767.357142857143,Beat S&P
Rock Hydra,LEA,rare,R,$13.50,1100,Alpha,677.3,LEA (R),4917.0370370370365,Beat S&P
Rod of Ruin,LEA,uncommon,U,$2.00,4500,Alpha,62.36666666666667,LEA (U),3018.3333333333353,Beat S&P
Royal Assassin,LEA,rare,R,$14.00,1100,Alpha,1770.985,LEA (R),12549.892857142857,Beat S&P
Sacrifice,LEA,uncommon,U,$2.00,4500,Alpha,117.85333333333334,LEA (U),5792.66666666665,Beat S&P
Samite Healer,LEA,common,C,$0.41,16000,Alpha,22.80666666666667,LEA (C),5462.601626016269,Beat S&P
Savannah,LEA,rare,R,$6.50,1100,Alpha,5299.99,LEA (R),81438.30769230769,Beat S&P
